usuario,fecha,ejercicio,set,peso (kg),reps,rpe,rir,cumplió_objetivo
usuario_strong,2021-09-13 10:41:41,Bench Press (Barbell),1,35.0,10,9.0,1.0,True
usuario_strong,2021-09-13 10:41:41,Bench Press (Barbell),2,35.0,9,10.0,0.0,True
usuario_strong,2021-09-13 10:41:41,Bench Press (Barbell),3,35.0,8,10.0,0.0,True
usuario_strong,2021-09-13 10:41:41,Bench Press (Barbell),4,35.0,7,10.0,0.0,True
usuario_strong,2021-09-13 10:41:41,Incline Cable Chest Fly,1,12.5,12,9.5,0.5,True
usuario_strong,2021-09-13 10:41:41,Incline Cable Chest Fly,2,12.5,10,10.0,0.0,True
usuario_strong,2021-09-13 10:41:41,Incline Cable Chest Fly,3,12.5,8,10.0,0.0,True
usuario_strong,2021-09-13 10:41:41,Incline Cable Chest Fly,4,12.5,7,10.0,0.0,True
usuario_strong,2021-09-13 10:41:41,Overhead Press (Dumbbell),1,12.0,10,8.0,2.0,True
usuario_strong,2021-09-13 10:41:41,Overhead Press (Dumbbell),2,12.0,12,10.0,0.0,True
usuario_strong,2021-09-13 10:41:41,Overhead Press (Dumbbell),3,12.0,9,10.0,0.0,True
usuario_strong,2021-09-13 10:41:41,Overhead Press (Dumbbell),4,12.0,12,10.0,0.0,True
usuario_strong,2021-09-13 10:41:41,Lateral Raise (Cable),1,3.75,24,10.0,0.0,True
usuario_strong,2021-09-13 10:41:41,Lateral Raise (Cable),2,3.75,26,10.0,0.0,True
usuario_strong,2021-09-13 10:41:41,Lateral Raise (Cable),3,3.75,30,10.0,0.0,True
usuario_strong,2021-09-13 10:41:41,Lateral Raise (Cable),4,3.75,24,10.0,0.0,True
usuario_strong,2021-09-13 10:41:41,Triceps Pushdown (Cable - Straight Bar),1,21.25,8,10.0,0.0,True
usuario_strong,2021-09-13 10:41:41,Triceps Pushdown (Cable - Straight Bar),2,21.25,10,10.0,0.0,True
usuario_strong,2021-09-13 10:41:41,Triceps Pushdown (Cable - Straight Bar),3,21.25,10,10.0,0.0,True
usuario_strong,2021-09-13 10:41:41,Triceps Pushdown (Cable - Straight Bar),4,21.25,10,10.0,0.0,True
usuario_strong,2021-09-13 10:41:41,Face Pull (Cable),1,11.25,20,7.0,3.0,True
usuario_strong,2021-09-13 10:41:41,Face Pull (Cable),2,13.75,20,,,True
usuario_strong,2021-09-13 10:41:41,Face Pull (Cable),3,13.75,20,,,True
usuario_strong,2021-09-14 10:59:35,Lat Pull In,1,8.0,15,,,True
usuario_strong,2021-09-14 10:59:35,Lat Pull In,2,8.0,15,,,True
usuario_strong,2021-09-14 10:59:35,Bent Over One Arm Row (Dumbbell),1,45.0,10,7.5,2.5,True
usuario_strong,2021-09-14 10:59:35,Bent Over One Arm Row (Dumbbell),2,45.0,12,9.0,1.0,True
usuario_strong,2021-09-14 10:59:35,Bent Over One Arm Row (Dumbbell),3,45.0,9,10.0,0.0,True
usuario_strong,2021-09-14 10:59:35,Lat Pulldown - Wide Grip (Cable),1,40.0,15,10.0,0.0,True
usuario_strong,2021-09-14 10:59:35,Lat Pulldown - Wide Grip (Cable),2,40.0,11,10.0,0.0,True
usuario_strong,2021-09-14 10:59:35,Lat Pulldown (Cable),1,40.0,13,10.0,0.0,True
usuario_strong,2021-09-14 10:59:35,Lat Pulldown (Cable),2,40.0,12,10.0,0.0,True
usuario_strong,2021-09-14 10:59:35,Lat Pulldown - Underhand Close Grip,1,40.0,10,9.0,1.0,True
usuario_strong,2021-09-14 10:59:35,Lat Pulldown - Underhand Close Grip,2,40.0,13,9.0,1.0,True
usuario_strong,2021-09-14 10:59:35,Face Pull (Cable),1,21.25,15,9.0,1.0,True
usuario_strong,2021-09-14 10:59:35,Face Pull (Cable),2,18.75,15,8.0,2.0,True
usuario_strong,2021-09-14 10:59:35,Incline Row (Dumbbell),1,20.0,10,9.0,1.0,True
usuario_strong,2021-09-14 10:59:35,Incline Row (Dumbbell),2,16.0,10,9.5,0.5,True
usuario_strong,2021-09-14 10:59:35,Incline Row (Dumbbell),3,12.0,13,9.5,0.5,True
usuario_strong,2021-09-14 10:59:35,Bicep Curl (Barbell),1,17.5,15,8.0,2.0,True
usuario_strong,2021-09-14 10:59:35,Bicep Curl (Barbell),2,22.5,8,10.0,0.0,True
usuario_strong,2021-09-14 10:59:35,Bicep Curl (Barbell),3,22.5,6,10.0,0.0,False
usuario_strong,2021-09-14 10:59:35,Bicep Curl (Barbell),4,22.5,4,10.0,0.0,False
usuario_strong,2021-09-14 10:59:35,Incline Curl (Dumbbell),1,12.0,10,,,True
usuario_strong,2021-09-14 10:59:35,Incline Curl (Dumbbell),2,12.0,9,10.0,0.0,True
usuario_strong,2021-09-14 10:59:35,Incline Curl (Dumbbell),3,12.0,6,10.0,0.0,False
usuario_strong,2021-09-16 11:32:01,Overhead Press (Barbell),1,20.0,10,9.0,1.0,True
usuario_strong,2021-09-16 11:32:01,Overhead Press (Barbell),2,20.0,10,9.5,0.5,True
usuario_strong,2021-09-16 11:32:01,Overhead Press (Barbell),3,20.0,10,9.5,0.5,True
usuario_strong,2021-09-16 11:32:01,Overhead Press (Barbell),4,20.0,8,10.0,0.0,True
usuario_strong,2021-09-16 11:32:01,Bench Press - Close Grip (Barbell),1,35.0,10,7.0,3.0,True
usuario_strong,2021-09-16 11:32:01,Bench Press - Close Grip (Barbell),2,35.0,9,10.0,0.0,True
usuario_strong,2021-09-16 11:32:01,Bench Press - Close Grip (Barbell),3,35.0,7,10.0,0.0,True
usuario_strong,2021-09-16 11:32:01,Incline Chest Fly (Dumbbell),1,14.0,15,8.0,2.0,True
usuario_strong,2021-09-16 11:32:01,Incline Chest Fly (Dumbbell),2,16.0,13,10.0,0.0,True
usuario_strong,2021-09-16 11:32:01,Incline Chest Fly (Dumbbell),3,16.0,13,9.5,0.5,True
usuario_strong,2021-09-16 11:32:01,Incline Chest Fly (Dumbbell),4,18.0,10,,,True
usuario_strong,2021-09-16 11:32:01,Upright Row (Cable),1,13.75,10,8.0,2.0,True
usuario_strong,2021-09-16 11:32:01,Upright Row (Cable),2,13.75,12,,,True
usuario_strong,2021-09-16 11:32:01,Upright Row (Cable),3,13.75,12,,,True
usuario_strong,2021-09-16 11:32:01,Lateral Raise (Dumbbell),1,14.0,10,10.0,0.0,True
usuario_strong,2021-09-16 11:32:01,Lateral Raise (Dumbbell),2,12.0,7,10.0,0.0,True
usuario_strong,2021-09-16 11:32:01,Lateral Raise (Dumbbell),3,12.0,5,10.0,0.0,False
usuario_strong,2021-09-16 11:32:01,Triceps Extension (Cable),1,11.25,11,9.0,1.0,True
usuario_strong,2021-09-16 11:32:01,Triceps Extension (Cable),2,13.75,9,9.0,1.0,True
usuario_strong,2021-09-16 11:32:01,Triceps Extension (Cable),3,13.75,8,9.5,0.5,True
usuario_strong,2021-09-16 11:32:01,Triceps Extension (Cable),4,13.75,8,10.0,0.0,True
usuario_strong,2021-09-16 11:32:01,Push Up,1,0.0,10,8.0,2.0,True
usuario_strong,2021-09-16 11:32:01,Push Up,2,0.0,10,8.0,2.0,True
usuario_strong,2021-09-17 14:07:42,Lat Pull In,1,8.75,15,,,True
usuario_strong,2021-09-17 14:07:42,Lat Pull In,2,8.75,15,,,True
usuario_strong,2021-09-17 14:07:42,Lat Pulldown (Cable),1,47.0,12,9.0,1.0,True
usuario_strong,2021-09-17 14:07:42,Lat Pulldown (Cable),2,47.0,10,9.0,1.0,True
usuario_strong,2021-09-17 14:07:42,Lat Pulldown (Cable),3,47.0,10,9.5,0.5,True
usuario_strong,2021-09-17 14:07:42,Seated Row (Cable),1,38.75,10,8.0,2.0,True
usuario_strong,2021-09-17 14:07:42,Seated Row (Cable),2,38.75,11,9.0,1.0,True
