usuario,fecha,ejercicio,set,peso (kg),reps,rpe,rir,cumplió_objetivo
intermedio_1,2025-01-01,peso muerto,1,112.8,5,6.6,3.4,False
intermedio_1,2025-01-01,peso muerto,2,113.9,7,6.9,3.1,True
intermedio_1,2025-01-01,peso muerto,3,115.1,8,7.6,2.4,True
intermedio_1,2025-01-01,peso muerto,4,116.2,8,6.7,3.3,True
intermedio_1,2025-01-01,peso muerto,5,117.4,6,8.2,1.8,False
intermedio_1,2025-01-03,remo con barra,1,80.9,10,7.3,2.7,True
intermedio_1,2025-01-03,remo con barra,2,81.7,7,7.7,2.3,True
intermedio_1,2025-01-03,remo con barra,3,82.5,8,7.5,2.5,True
intermedio_1,2025-01-03,remo con barra,4,83.4,10,6.9,3.1,True
intermedio_1,2025-01-03,remo con barra,5,84.2,8,8.2,1.8,False
intermedio_1,2025-01-04,sentadilla,1,107.4,7,6.9,3.1,True
intermedio_1,2025-01-04,sentadilla,2,108.5,6,6.9,3.1,False
intermedio_1,2025-01-04,sentadilla,3,109.6,9,8.5,1.5,False
intermedio_1,2025-01-04,sentadilla,4,110.7,6,6.7,3.3,False
intermedio_1,2025-01-04,sentadilla,5,111.8,9,7.2,2.8,True
intermedio_1,2025-01-07,peso muerto,1,118.6,6,7.1,2.9,False
intermedio_1,2025-01-07,peso muerto,2,119.8,5,8.1,1.9,False
intermedio_1,2025-01-07,peso muerto,3,121.0,5,7.6,2.4,False
intermedio_1,2025-01-07,peso muerto,4,122.2,8,8.1,1.9,False
intermedio_1,2025-01-08,dominadas,1,18.7,10,8.5,1.5,False
intermedio_1,2025-01-08,dominadas,2,18.9,5,8.9,1.1,False
intermedio_1,2025-01-08,dominadas,3,19.1,6,6.9,3.1,False
intermedio_1,2025-01-08,dominadas,4,19.3,5,8.7,1.3,False
intermedio_1,2025-01-10,remo con barra,1,85.0,7,8.5,1.5,False
intermedio_1,2025-01-10,remo con barra,2,85.9,5,8.6,1.4,False
intermedio_1,2025-01-10,remo con barra,3,86.7,8,7.1,2.9,True
intermedio_1,2025-01-10,remo con barra,4,87.6,8,8.9,1.1,False
intermedio_1,2025-01-10,remo con barra,5,88.5,10,8.9,1.1,False
intermedio_1,2025-01-14,peso muerto,1,123.4,7,7.6,2.4,True
intermedio_1,2025-01-14,peso muerto,2,124.6,6,7.3,2.7,False
intermedio_1,2025-01-14,peso muerto,3,125.9,10,6.7,3.3,True
intermedio_1,2025-01-16,sentadilla,1,112.9,5,8.1,1.9,False
intermedio_1,2025-01-16,sentadilla,2,114.0,6,8.3,1.7,False
intermedio_1,2025-01-16,sentadilla,3,115.1,8,8.2,1.8,False
intermedio_1,2025-01-18,remo con barra,1,89.4,6,7.1,2.9,False
intermedio_1,2025-01-18,remo con barra,2,90.3,10,9.0,1.0,False
intermedio_1,2025-01-18,remo con barra,3,91.2,10,7.1,2.9,True
intermedio_1,2025-01-18,remo con barra,4,92.1,5,7.2,2.8,False
intermedio_1,2025-01-19,sentadilla,1,116.3,8,6.6,3.4,True
intermedio_1,2025-01-19,sentadilla,2,117.5,6,7.9,2.1,False
intermedio_1,2025-01-19,sentadilla,3,118.6,9,7.9,2.1,True
intermedio_1,2025-01-23,dominadas,1,19.5,6,6.8,3.2,False
intermedio_1,2025-01-23,dominadas,2,19.7,9,7.2,2.8,True
intermedio_1,2025-01-23,dominadas,3,19.9,9,9.0,1.0,False
intermedio_1,2025-01-26,remo con barra,1,93.0,6,6.6,3.4,False
intermedio_1,2025-01-26,remo con barra,2,93.9,9,7.5,2.5,True
intermedio_1,2025-01-26,remo con barra,3,94.9,10,7.0,3.0,True
intermedio_1,2025-01-27,remo con barra,1,95.8,10,7.6,2.4,True
intermedio_1,2025-01-27,remo con barra,2,96.8,5,7.3,2.7,False
intermedio_1,2025-01-27,remo con barra,3,97.8,9,7.5,2.5,True
intermedio_1,2025-01-27,remo con barra,4,98.7,7,7.8,2.2,True
intermedio_1,2025-01-27,remo con barra,5,99.7,5,8.5,1.5,False
